type,ref,date,title,subject,MNIS_id,gender,constituency
Ten minute rule bills,Bill 297 2019-21,2021-04-28,Environment (Regulation) Bill 2019-21,Animal welfare; Enforcement; Environment protection; Public sector; Standards; Regulation; Trade agreements,1591,M,Westmorland and Lonsdale
Ten minute rule bills,Bill 294 2019-21,2021-04-27,Tool Theft (Prevention) Bill 2019-21,Sales; Secondhand goods; Theft; Tools,4778,M,Buckingham
Presentation bills,Bill 292 2019-21,2021-04-26,High-rise Properties (Electrical Safety) Bill 2019-21,Inspections; Electrical safety; Social rented housing; High rise flats,1516,M,Hammersmith
Ten minute rule bills,Bill 286 2019-21,2021-04-20,Planning (Local Authority Housing Developments) Bill 2019-21,Construction; Housing; Planning permission,4803,M,Eastleigh
Ten minute rule bills,Bill 283 2019-21,2021-04-13,Road User Charging (Outer London) Bill 2019-21,Greater London; Powers; Mayor of London; Roads; Tolls,3970,M,Dartford
Private members' bills,Bill 282 2019-21,2021-03-25,Scottish Parliament (Disqualification of Members of the House of Commons) Bill 2019-21,Disqualification; Members; Scottish Parliament,4738,M,Stirling
Ten minute rule bills,Bill 280 2019-21,2021-03-24,Gaming Hardware (Automated Purchase and Resale) (No. 2) Bill 2019-21,ICT; Electronic commerce; Video games; Automation,4402,M,Dunfermline and West Fife
Private members' bills,Bill 279 2019-21,2021-03-24,Coronavirus (No. 2) Bill 2019-21,Data protection; Appeals; Asylum; Elections; Education; Immigration; Industrial health and safety; Fines; Free school meals; Privacy; Standards; Sick pay; Coronavirus; Contact tracing,1489,F,Brent Central
Ten minute rule bills,Bill 278 2019-21,2021-03-23,First Aid (Mental Health) Bill 2019-21,First aid; Mental health; Training,4812,M,Watford
Ten minute rule bills,Bill 276 2019-21,2021-03-17,Education Employment (Accompaniment to Hearings) Bill 2019-21,Disciplinary proceedings; Advocacy; Teachers,4756,M,Bassetlaw
Ten minute rule bills,Bill 275 2019-21,2021-03-16,Goods and Services of UK Origin Bill 2019-21,Contracts; Public sector; Procurement; Origin marking,177,M,Harrow West
Ten minute rule bills,Bill 272 2019-21,2021-03-10,Pig Husbandry (Farrowing) Bill 2019-21,Animal housing; Animal welfare; Animal breeding; Pigs,44,M,Southend West
Presentation bills,Bill 271 2019-21,2021-03-10,Electrical Safety (Online Sales) Bill 2019-21,Electronic commerce; Electrical safety; Sales,4796,M,Gordon
Ten minute rule bills,Bill 269 2019-21,2021-03-09,Landfill Sites (Odorous Emissions) Bill 2019-21,Landfill; Standards; Odour pollution,4837,M,Newcastle-under-Lyme
Ten minute rule bills,Bill 266 2019-21,2021-03-08,Housing and Homelessness (Local Accommodation Duty) Bill 2019-21,Local government; Temporary accommodation; Sleeping rough,199,F,Westminster North
Ten minute rule bills,Bill 265 2019-21,2021-03-02,Banking Services (Post Offices) Bill 2019-21,Bank services; Post offices,4784,M,North Norfolk
Ten minute rule bills,Bill 261 2019-21,2021-02-24,High Performance Vehicles Renting (Regulation) Bill 2019-21,Hire services; Motor vehicles; Regulation,4472,F,Halifax
Ten minute rule bills,Bill 260 2019-21,2021-02-23,Youth Courts and Sentencing Bill 2019-21,Age; Sentencing; Young offenders; Youth courts,4745,M,Aylesbury
Ten minute rule bills,Bill 259 2019-21,2021-02-10,Essay Mills (Prohibition) Bill 2019-21,Students; Plagiarism,4021,M,Kingswood
Ten minute rule bills,Bill 256 2019-21,2021-02-09,"Victims of Crime and Anti-social Behaviour, etc (Rights, Entitlements and Related Matters) Bill 2019-21",Children; Criminal investigation; Appeals; Crime; Protection; Witnesses; Victims; Victim support schemes; Victims' Commissioner,4505,M,Hove
Ten minute rule bills,Bill 254 2019-21,2021-02-03,Air Quality Bill 2019-21,Air pollution; Pollution control,1500,F,Chipping Barnet
Presentation bills,Bill 253 2019-21,2021-02-03,Gaming Hardware (Automated Purchase and Resale) Bill 2019-21,ICT; Electronic commerce; Video games; Automation,4402,M,Dunfermline and West Fife
Ten minute rule bills,Bill 251 2019-21,2021-02-02,Local Welfare Assistance Provision (Review) Bill 2019-21,Cost effectiveness; Local government; Standards; Welfare assistance schemes,3926,M,Blackpool North and Cleveleys
Presentation bills,Bill 250 2019-21,2021-02-02,Driving Tests (Repayment of Test Fees) Bill 2019-21,Fees and charges; Driving tests; Repayments,4413,F,East Renfrewshire
Ten minute rule bills,Bill 247 2019-21,2021-01-27,Ministerial Interests (Emergency Powers) Bill 2019-21,Contracts for services; Conflict of interests; Ministers; Ministerial statements,4482,M,Midlothian
Ten minute rule bills,Bill 245 2019-21,2021-01-26,Football (Regulation) Bill 2019-21,NA,4018,F,Maidstone and The Weald
Ten minute rule bills,Bill 241 2019-21,2021-01-20,Internet Access Bill 2019-21,Access; Children; Disadvantaged; Internet; Universal service obligation; Mobile broadband,4621,M,Bristol North West
