type,ref,date,title,summary,lead_member,lead_members_party,department,MNIS_id,gender,constituency
Adjournment debates,695 cc115-122,2021-05-11,Dame Vera Lynn: National Memorial,Agreed to on question.,"Amess, David",Conservative Party,"Department for Digital, Culture, Media and Sport",44,M,Southend West
Adjournment debates,693 cc469-476,2021-04-28,National Minimum Wage Enforcement,Agreed to on question.,"Selous, Andrew",Conservative Party,"Department for Business, Energy and Industrial Strategy",1453,M,South West Bedfordshire
Adjournment debates,693 cc331-340,2021-04-27,Alcohol Products: Labelling,Agreed to on question.,"Carden, Dan",Labour Party,Department of Health and Social Care,4651,M,"Liverpool, Walton"
Adjournment debates,693 c199,2021-04-26,Emergency Services Personnel: Awards for Next of Kin,Agreed to on question.,"Stewart, Bob",Conservative Party,Cabinet Office,3919,M,Beckenham
Adjournment debates,692 cc1247-1254,2021-04-22,British Wrestling,Agreed to on question.,"Fletcher, Mark",Conservative Party,"Department for Digital, Culture, Media and Sport",4774,M,Bolsover
Adjournment debates,692 cc1093-1103,2021-04-21,"Carbon Monoxide: Safety, Testing and Awareness",Agreed to on question.,"Peacock, Stephanie",Labour Party,"Department for Business, Energy and Industrial Strategy",4607,F,Barnsley East
Adjournment debates,692 cc952-8,2021-04-20,Nuclear Test Veterans: Service Medal,Agreed to on question.,"Hayes, John",Conservative Party,Ministry of Defence,350,M,South Holland and The Deepings
Adjournment debates,692 c815,2021-04-19,Gender Pension Gap,Agreed to on question.,"Gibson, Patricia",Scottish National Party,Department for Work and Pensions,4435,F,North Ayrshire and Arran
Adjournment debates,692 cc611-7,2021-04-15,English Language Sector,Agreed to on question.,"Burns, Conor",Conservative Party,"Department for Business, Energy and Industrial Strategy",3922,M,Bournemouth West
Adjournment debates,692 cc433-443,2021-04-14,Hammersmith Bridge,Agreed to on question.,"Anderson, Fleur",Labour Party,Department for Transport,4788,F,Putney
Adjournment debates,692 cc285-4,2021-04-13,Cardiopulmonary Resuscitation in the Pandemic,Agreed to on question.,"Kruger, Danny",Conservative Party,Department of Health and Social Care,4858,M,Devizes
Adjournment debates,691 cc1173-1180,2021-03-25,Conflict in Tigray Region of Ethiopia,Agreed to on question.,"Hayes, Helen",Labour Party,"Foreign, Commonwealth and Development Office",4510,F,Dulwich and West Norwood
